Country Name,Country Code,Indicator Name,Indicator Code,1980 [YR1980],2008 [YR2008]
Andorra,ADO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,40.7473537936631,188.139744534824
Andorra,ADO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,13.3548265751097,3.18509869794595
Andorra,ADO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,NA,NA
Andorra,ADO,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,NA,NA
Andorra,ADO,Lending interest rate (%),FR.INR.LEND,NA,NA
Andorra,ADO,Liquid liabilities (M3) as % of GDP,FS.LBL.LIQU.GD.ZS,NA,NA
Andorra,ADO,"Listed domestic companies, total",CM.MKT.LDOM.NO,NA,NA
Andorra,ADO,Market capitalization of listed companies (% of GDP),CM.MKT.LCAP.GD.ZS,NA,NA
Andorra,ADO,Market capitalization of listed companies (current US$),CM.MKT.LCAP.CD,NA,NA
Andorra,ADO,Money (current LCU),FM.LBL.MONY.CN,NA,NA
Andorra,ADO,Money and quasi money (M2) (current LCU),FM.LBL.MQMY.CN,NA,NA
Andorra,ADO,Money and quasi money (M2) as % of GDP,FM.LBL.MQMY.GD.ZS,NA,NA
Andorra,ADO,Money and quasi money (M2) to total reserves ratio,FM.LBL.MQMY.IR.ZS,NA,NA
Andorra,ADO,Money and quasi money growth (annual %),FM.LBL.MQMY.ZG,NA,NA
Andorra,ADO,Net domestic credit (current LCU),FM.AST.DOMS.CN,NA,NA
Andorra,ADO,Net foreign assets (current LCU),FM.AST.NFRG.CN,NA,NA
Andorra,ADO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,NA,NA
Andorra,ADO,"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5,NA,NA
Andorra,ADO,Quasi money (current LCU),FM.LBL.QMNY.CN,NA,NA
Andorra,ADO,Quasi-liquid liabilities (% of GDP),FS.LBL.QLIQ.GD.ZS,NA,NA
Andorra,ADO,Real effective exchange rate index (2005 = 100),PX.REX.REER,NA,NA
Andorra,ADO,Real interest rate (%),FR.INR.RINR,NA,NA
Andorra,ADO,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,NA,NA
Andorra,ADO,S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,NA,NA
Andorra,ADO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,NA,NA
Andorra,ADO,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,NA,NA
Andorra,ADO,"Stocks traded, turnover ratio (%)",CM.MKT.TRNR,NA,NA
Andorra,ADO,Wholesale price index (2005 = 100),FP.WPI.TOTL,NA,NA
Angola,AGO,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,NA,7.51617471363846
Angola,AGO,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,NA,NA
Angola,AGO,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,NA,NA
Angola,AGO,Bank nonperforming loans to total gross loans (%),FB.AST.NPER.ZS,NA,NA
Angola,AGO,"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3,NA,NA
Angola,AGO,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,NA,22.4367976322933
Angola,AGO,Broad money (current LCU),FM.LBL.BMNY.CN,NA,1417144983007.82
Angola,AGO,Broad money growth (annual %),FM.LBL.BMNY.ZG,NA,66.1558337085205
Angola,AGO,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,NA,1.05693838600754
Angola,AGO,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,NA,17.8593663822032
Angola,AGO,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,NA,-4.18857717190709
Angola,AGO,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,NA,NA
Angola,AGO,Claims on other sectors of the domestic economy (annual growth as % of broad money),FM.AST.DOMO.ZG.M3,NA,NA
Angola,AGO,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,NA,36.915338084476
Angola,AGO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,NA,5.60830330794502
Angola,AGO,Consumer price index (2005 = 100),FP.CPI.TOTL,NA,143.045644719174
